"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","우이신설선","4.19민주묘지","2669","2396","20260720"
"20260717","경원선","가능","4791","4666","20260720"
"20260717","3호선","가락시장","6034","5792","20260720"
"20260717","8호선","가락시장","5792","6606","20260720"
"20260717","7호선","가산디지털단지","14366","13305","20260720"
"20260717","경부선","가산디지털단지","6059","7392","20260720"
"20260717","9호선","가양","13531","12648","20260720"
"20260717","우이신설선","가오리","3177","2993","20260720"
"20260717","경의선","가좌","4187","4067","20260720"
"20260717","분당선","가천대","5072","5175","20260720"
"20260717","경춘선","가평","2738","3817","20260720"
"20260717","경인선","간석","4365","4061","20260720"
"20260717","경춘선","갈매","1804","1576","20260720"
"20260717","2호선","강남","49464","45290","20260720"
"20260717","분당선","강남구청","4192","5172","20260720"
"20260717","7호선","강남구청","7815","8948","20260720"
"20260717","5호선","강동","11833","11313","20260720"
"20260717","8호선","강동구청","6490","6362","20260720"
"20260717","경의선","강매","1818","1647","20260720"
"20260717","2호선","강변(동서울터미널)","24945","26461","20260720"
"20260717","5호선","강일","4038","3547","20260720"
"20260717","경춘선","강촌","573","744","20260720"
"20260717","5호선","개롱","4178","4140","20260720"
"20260717","경인선","개봉","16623","16051","20260720"
"20260717","분당선","개포동","2227","2233","20260720"
"20260717","9호선","개화","1632","1300","20260720"
"20260717","5호선","개화산","4111","3896","20260720"
"20260717","5호선","거여","6120","5843","20260720"
"20260717","7호선","건대입구","11693","11449","20260720"
"20260717","2호선","건대입구","35368","37367","20260720"
"20260717","공항철도 1호선","검암","4059","4030","20260720"
"20260717","경강선","경기광주","5943","5551","20260720"
"20260717","과천선","경마공원","9120","8912","20260720"
"20260717","3호선","경복궁(정부서울청사)","22333","23628","20260720"
"20260717","3호선","경찰병원","4037","3940","20260720"
"20260717","공항철도 1호선","계양","6888","6719","20260720"
"20260717","5호선","고덕","6157","6026","20260720"
"20260717","6호선","고려대(종암)","5283","5111","20260720"
"20260717","수인선","고색","3312","3280","20260720"
"20260717","3호선","고속터미널","59027","60445","20260720"
"20260717","7호선","고속터미널","14450","12126","20260720"
"20260717","9호선","고속터미널","16206","25482","20260720"
"20260717","안산선","고잔","5345","5101","20260720"
"20260717","경의선","곡산","420","420","20260720"
"20260717","경강선","곤지암","1988","2046","20260720"
"20260717","경의선","공덕","3014","2282","20260720"
"20260717","공항철도 1호선","공덕","2312","2994","20260720"
"20260717","6호선","공덕","10836","10437","20260720"
"20260717","5호선","공덕","7062","7024","20260720"
"20260717","7호선","공릉(서울과학기술대)","8747","8365","20260720"
"20260717","9호선","공항시장","2080","2095","20260720"
"20260717","공항철도 1호선","공항화물청사","1211","1215","20260720"
"20260717","과천선","과천","4196","3776","20260720"
"20260717","경부선","관악","5226","5140","20260720"
"20260717","신림선","관악산(서울대)","4290","4165","20260720"
"20260717","5호선","광나루(장신대)","7248","6998","20260720"
"20260717","경부선","광명","2805","2665","20260720"
"20260717","7호선","광명사거리","16882","16686","20260720"
"20260717","경원선","광운대","5844","5497","20260720"
"20260717","5호선","광화문(세종문화회관)","20762","21377","20260720"
"20260717","6호선","광흥창(서강)","5724","5237","20260720"
"20260717","3호선","교대(법원.검찰청)","8349","4263","20260720"
"20260717","2호선","교대(법원.검찰청)","14068","17665","20260720"
"20260717","경부선","구로","11364","11405","20260720"
"20260717","2호선","구로디지털단지","34942","33876","20260720"
"20260717","분당선","구룡","1847","1742","20260720"
"20260717","중앙선","구리","5740","6288","20260720"
"20260717","9호선","구반포","2323","2034","20260720"
"20260717","6호선","구산","5740","4313","20260720"
"20260717","분당선","구성","5112","5295","20260720"
"20260717","2호선","구의(광진구청)","21207","20596","20260720"
"20260717","경인선","구일","4302","3931","20260720"
"20260717","3호선","구파발","17236","17170","20260720"
"20260717","중앙선","국수","653","626","20260720"
"20260717","9호선","국회의사당","6718","6827","20260720"
